Account Type,Email,Account Number,Opening Date,Balance,Interest Rate,Interest Paid Date,Term
CHECKING,bilal.khan@email.com,1000001,2023-10-04,0.0,0.0,2023-10-04,0
CD,john.smith@email.com,1000004,2023-10-04,1000.0,0.07,2023-10-04,1
SAVINGS,john.smith@email.com,1000003,2023-10-04,500.0,0.05,2023-10-04,0
CHECKING,john.smith@email.com,1000002,2023-10-04,8590.0,0.0,2023-10-04,0
CHECKING,sarah.irvine@email.com,1000010,2023-10-05,0.0,0.0,2023-10-05,0
SAVINGS,john.irvine@email.com,1000009,2023-10-05,10000.0,0.05,2023-10-05,0
CHECKING,john.irvine@email.com,1000008,2023-10-05,100.0,0.0,2023-10-05,0
SAVINGS,john.irvine@email.com,1000007,2023-10-05,100.0,0.05,2023-10-05,0
CHECKING,bobby.ayvazov@email.com,1000006,2023-10-05,0.0,0.0,2023-10-05,0
SAVINGS,bobby.ayvazov@email.com,1000005,2023-10-05,0.0,0.05,2023-10-05,0
